adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id,order
FALSE,2,1828590,Directing,Simon McQuoid,Simon McQuoid,1.166,/pFKRKvSb6N3CMNZYLpGmdSPIjch.jpg,593475c3c3a36859ef0253af,Directing,Director,460465,1
FALSE,2,2119504,Directing,Andrew Baird,Andrew Baird,0.84,,5e4f82299b861600116c71d8,Directing,Director,675319,1
FALSE,2,76817,Directing,Alejandro Lozano,Alejandro Lozano,0.603,,615adddc81c7be0064a738ef,Directing,Director,772436,1
FALSE,2,10702,Directing,Martin Campbell,Martin Campbell,3.93,/vPT3FJrBE35yRpbbkLWQthhEDcr.jpg,5dc302377d2bc100133c4b95,Directing,Director,645788,1
FALSE,2,100734,Directing,Johannes Roberts,Johannes Roberts,1.788,/8hHny6atmFXcuNl2m1AP3fIOayz.jpg,5c087fabc3a368252d0046c2,Directing,Director,460458,1
FALSE,2,52443,Directing,Jason Reitman,Jason Reitman,2.675,/eNNN1dwfB6b6p2hoEG1xyoa7H2p.jpg,5c3e90a80e0a2638678ff15c,Directing,Director,425909,1
FALSE,2,98631,Directing,Adam Wingard,Adam Wingard,3.692,/3Dk4vAmhdb59VTnNRnW1ln52wG6.jpg,592e202b92514130e300294c,Directing,Director,399566,1
FALSE,0,1450348,Writing,Joel Crawford,Joel Crawford,1.004,/3F60mZB4sGgB51jAIglwn6OrUgB.jpg,5b3526689251413ca00206f1,Directing,Director,529203,1
FALSE,2,956,Directing,Guy Ritchie,Guy Ritchie,8.704,/9pLUnjMgIEWXi0mlHYzie9cKUTD.jpg,5d9b8d9beb14fa0013d1ab21,Directing,Director,637649,1
FALSE,2,7623,Directing,Sam Raimi,Sam Raimi,3.427,/8gssvwiPrFRuFRlr5ruKx68k1Jl.jpg,5e867154a5743d00110fe933,Directing,Director,557,1
FALSE,0,2114488,Directing,Steven Lawson,Steven Lawson,0.6,,607da758aa659e002aeb91c7,Directing,Director,820511,1
FALSE,0,3190496,Directing,Qing Guo,Qing Guo,0.6,,610f6d8b5c5cc8002a255d1e,Directing,Director,859041,1
FALSE,2,2196395,Directing,Rodrigo Van Der Put,Rodrigo Van Der Put,1.4,/3g2w6JCJ6RMhnpZYt4aihL4Qj1V.jpg,616a43b96f53e10043428ef0,Directing,Director,885458,1
FALSE,2,1637776,Directing,Matt Peters,Matt Peters,0.6,,60f8545df056d500756a7008,Directing,Director,831405,1
FALSE,2,57810,Production,Richard Claus,Richard Claus,1.708,,5c8eed8a0e0a26130457c8f1,Directing,Director,588921,1
FALSE,2,144816,Directing,Chris McKay,Chris McKay,1.232,/amsiOymeTx4dDcsSUMWKMlSEP9T.jpg,5dcaf13f6c0e4f00133f78c8,Directing,Director,588228,1
FALSE,2,76927,Directing,Tommy Wirkola,Tommy Wirkola,1.62,/90Tq9GYih9viOI825KgeV7PKIKG.jpg,5fa33afdd18fb90040f00d64,Directing,Director,760747,1
FALSE,2,1565301,Writing,Thomas Astruc,Thomas Astruc,4.262,,605b3bca091e62006c96273f,Directing,Director,726684,1
FALSE,2,20907,Directing,Antoine Fuqua,Antoine Fuqua,1.826,/9zh0MmYIw1BP8V7y9N9K5Rjew4C.jpg,5c632fbe9251412fbffd377f,Directing,Director,581726,1
FALSE,2,15217,Directing,Zack Snyder,Zack Snyder,6.845,/iD0GDqkvJXDXiNEZej198hjt3Tt.jpg,60144e60d7cd06003c04f445,Directing,Director,791373,1
FALSE,2,11873,Directing,Roger Kumble,Roger Kumble,1.807,/njVOmV33aCFRUlBxxLXzLbrmAUS.jpg,5d47f03da0be28081ea2e6c9,Directing,Director,613504,1
FALSE,2,19271,Directing,Anthony Russo,Anthony Russo,3.402,/fIa5wXK7MHAquhefTr3TcnZiYy8.jpg,5e862ce3a5743d00130f92e8,Directing,Director,299536,1
